competencia,dimension,grupo,anio,puntaje,comparabilidad_area,fuente
Lectura,Área,Urbana,2009,382,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Área,Urbana,2012,393,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Área,Urbana,2015,407,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Área,Urbana,2018,418,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Área,Urbana,2022,421,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Área,Urbana,2025,402,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Área,Rural,2009,291,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Área,Rural,2012,303,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Área,Rural,2015,314,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Área,Rural,2018,323,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Área,Rural,2022,349,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Lectura,Área,Rural,2025,338,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Nacional,Perú,2009,369,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Nacional,Perú,2012,373,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Nacional,Perú,2015,397,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Nacional,Perú,2018,404,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Nacional,Perú,2022,408,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Nacional,Perú,2025,406,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Sexo,Hombre,2009,372,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Sexo,Hombre,2012,376,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Sexo,Hombre,2015,402,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Sexo,Hombre,2018,411,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Sexo,Hombre,2022,415,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Sexo,Hombre,2025,411,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Sexo,Mujer,2009,367,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Sexo,Mujer,2012,370,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Sexo,Mujer,2015,392,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Sexo,Mujer,2018,397,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Sexo,Mujer,2022,401,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Sexo,Mujer,2025,400,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Gestión,Privada,2009,429,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Gestión,Privada,2012,417,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Gestión,Privada,2015,438,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Gestión,Privada,2018,452,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Gestión,Privada,2022,454,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Gestión,Privada,2025,447,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Gestión,Pública,2009,350,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Gestión,Pública,2012,358,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Gestión,Pública,2015,382,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Gestión,Pública,2018,388,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Gestión,Pública,2022,392,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Gestión,Pública,2025,390,,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Área,Urbana,2009,380,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Área,Urbana,2012,380,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Área,Urbana,2015,404,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Área,Urbana,2018,411,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Área,Urbana,2022,418,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Área,Urbana,2025,416,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Área,Rural,2009,300,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Área,Rural,2012,311,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Área,Rural,2015,334,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Área,Rural,2018,343,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Área,Rural,2022,359,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Ciencia,Área,Rural,2025,361,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
