dataset,competencia,pais_economia,anio,indicador,dimension,grupo,nivel,valor,valor_2,valor_3,unidad,nota,fuente,archivo_origen
Resultados internacionales 2025,Matemática,Croacia,2025,Puntaje medio,,,,455,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,República Eslovaca,2025,Puntaje medio,,,,475,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,República Eslovaca,2025,Puntaje medio,,,,448,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,República Eslovaca,2025,Puntaje medio,,,,469,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Luxemburgo,2025,Puntaje medio,,,,474,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Luxemburgo,2025,Puntaje medio,,,,443,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Luxemburgo,2025,Puntaje medio,,,,458,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Noruega*,2025,Puntaje medio,,,,470,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Noruega*,2025,Puntaje medio,,,,453,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Noruega*,2025,Puntaje medio,,,,452,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
